id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2025-04-16;45811.07641667
N;Norte;2025-04-17;8605.54191667
NE;Nordeste;2025-04-17;14263.22925
S;Sul;2025-04-17;14017.40945833
SE;Sudeste/Centro-Oeste;2025-04-17;45252.64
N;Norte;2025-04-18;8136.406625
NE;Nordeste;2025-04-18;12484.59125
S;Sul;2025-04-18;11212.93295833
SE;Sudeste/Centro-Oeste;2025-04-18;40355.160125
N;Norte;2025-04-19;8231.28179167
NE;Nordeste;2025-04-19;12964.9825
S;Sul;2025-04-19;11217.775125
SE;Sudeste/Centro-Oeste;2025-04-19;40539.03104167
N;Norte;2025-04-20;7775.45704167
NE;Nordeste;2025-04-20;12581.20829167
S;Sul;2025-04-20;9618.25308333
SE;Sudeste/Centro-Oeste;2025-04-20;37399.00775
N;Norte;2025-04-21;7960.63416667
NE;Nordeste;2025-04-21;13149.31995833
S;Sul;2025-04-21;10956.022
SE;Sudeste/Centro-Oeste;2025-04-21;38735.51079167
N;Norte;2025-04-22;8465.28504167
NE;Nordeste;2025-04-22;14381.40654167
S;Sul;2025-04-22;13403.02325
SE;Sudeste/Centro-Oeste;2025-04-22;42602.94858333
N;Norte;2025-04-23;8449.08491667
NE;Nordeste;2025-04-23;14166.49825
S;Sul;2025-04-23;13836.516125
SE;Sudeste/Centro-Oeste;2025-04-23;43590.949625
N;Norte;2025-04-24;8363.61683333
NE;Nordeste;2025-04-24;14042.12508333
S;Sul;2025-04-24;14329.550125
SE;Sudeste/Centro-Oeste;2025-04-24;45280.45633333
N;Norte;2025-04-25;8467.91966667
NE;Nordeste;2025-04-25;14041.55354167
S;Sul;2025-04-25;14316.21825
SE;Sudeste/Centro-Oeste;2025-04-25;46296.02170833
N;Norte;2025-04-26;8016.53520833
NE;Nordeste;2025-04-26;13461.74704167
S;Sul;2025-04-26;12806.00404167
SE;Sudeste/Centro-Oeste;2025-04-26;42726.192375
N;Norte;2025-04-27;7189.60504167
NE;Nordeste;2025-04-27;12278.572125
S;Sul;2025-04-27;11365.02658333
SE;Sudeste/Centro-Oeste;2025-04-27;39640.407875
N;Norte;2025-04-28;8357.90308333
NE;Nordeste;2025-04-28;14221.83016667
S;Sul;2025-04-28;13525.226375
SE;Sudeste/Centro-Oeste;2025-04-28;46088.38225
N;Norte;2025-04-29;8360.390625
NE;Nordeste;2025-04-29;14661.77608333
S;Sul;2025-04-29;13678.56716667
SE;Sudeste/Centro-Oeste;2025-04-29;45291.77425
N;Norte;2025-04-30;8244.748875
NE;Nordeste;2025-04-30;14374.96283333
S;Sul;2025-04-30;13698.397
SE;Sudeste/Centro-Oeste;2025-04-30;43742.7145
N;Norte;2025-05-01;7832.86420833
NE;Nordeste;2025-05-01;12880.75054167
S;Sul;2025-05-01;11643.9805
SE;Sudeste/Centro-Oeste;2025-05-01;39260.50120833
N;Norte;2025-05-02;8132.9955
NE;Nordeste;2025-05-02;13577.21270833
S;Sul;2025-05-02;12710.80083333
SE;Sudeste/Centro-Oeste;2025-05-02;40965.45766667
N;Norte;2025-05-03;7991.861375
NE;Nordeste;2025-05-03;12918.39420833
S;Sul;2025-05-03;11612.40304167
SE;Sudeste/Centro-Oeste;2025-05-03;38892.90241667
N;Norte;2025-05-04;7830.12679167
NE;Nordeste;2025-05-04;12280.501625
S;Sul;2025-05-04;10431.47191667
SE;Sudeste/Centro-Oeste;2025-05-04;36659.79220833
N;Norte;2025-05-05;8375.60820833
NE;Nordeste;2025-05-05;13839.86858333
S;Sul;2025-05-05;13889.81525
SE;Sudeste/Centro-Oeste;2025-05-05;42296.1825
N;Norte;2025-05-06;8469.785
NE;Nordeste;2025-05-06;14006.74333333
S;Sul;2025-05-06;14559.39670833
SE;Sudeste/Centro-Oeste;2025-05-06;43523.02254167
